epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7224,1.99598,7.13772,1.07589,0,0,0,0,1.67691,6.62033,0.91307,1.9281e-05,1.9281e-05,1.9281e-05
2,148.934,1.78144,6.62842,0.93114,0,0,0,0,1.61437,6.4712,0.88516,3.85621e-05,3.85621e-05,3.85621e-05
3,284.642,1.76378,6.32293,0.90697,0.00417,0.0209,0.00297,0.00192,1.67744,6.0773,0.88741,5.74538e-05,5.74538e-05,5.74538e-05
4,507.327,1.83332,6.03057,0.90217,0.00417,0.09457,0.00524,0.00338,1.69787,5.67905,0.88718,5.72477e-05,5.72477e-05,5.72477e-05
5,764.857,1.79448,5.63462,0.89553,0.00479,0.11704,0.00822,0.00551,1.66989,5.38555,0.8845,5.66636e-05,5.66636e-05,5.66636e-05
6,1002.24,1.79062,5.41712,0.89335,0.005,0.13421,0.00934,0.0066,1.63689,5.13181,0.88337,5.60795e-05,5.60795e-05,5.60795e-05
7,1223.44,1.75549,5.08891,0.88853,0.00497,0.17237,0.01122,0.00776,1.63918,4.92319,0.8813,5.54954e-05,5.54954e-05,5.54954e-05
8,1447.39,1.75829,4.93052,0.88901,0.35645,0.02584,0.01155,0.00779,1.61242,4.75314,0.88319,5.49113e-05,5.49113e-05,5.49113e-05
9,1663.55,1.70426,4.70278,0.88854,0.4546,0.01918,0.01366,0.00925,1.60194,4.61405,0.88281,5.43272e-05,5.43272e-05,5.43272e-05
10,1846.66,1.69327,4.55666,0.88742,0.42862,0.02646,0.02027,0.01456,1.61666,4.51735,0.88691,5.37431e-05,5.37431e-05,5.37431e-05
11,2031.92,1.68965,4.43986,0.88978,0.38671,0.02673,0.01635,0.01118,1.57842,4.39932,0.87887,5.3159e-05,5.3159e-05,5.3159e-05
12,2215.55,1.6458,4.33988,0.8808,0.62893,0.01863,0.02062,0.01375,1.56164,4.33093,0.88321,5.25749e-05,5.25749e-05,5.25749e-05
13,2375.89,1.64804,4.2531,0.88205,0.44661,0.03652,0.02863,0.01734,1.55133,4.23833,0.8831,5.19908e-05,5.19908e-05,5.19908e-05
14,2527.76,1.69218,4.22942,0.88105,0.63396,0.02242,0.02406,0.0155,1.54768,4.16418,0.88426,5.14067e-05,5.14067e-05,5.14067e-05
15,2668.02,1.63404,4.05941,0.87646,0.62747,0.02867,0.03473,0.02474,1.54345,4.07411,0.88376,5.08226e-05,5.08226e-05,5.08226e-05
16,2804.35,1.59674,4.01887,0.88083,0.61698,0.02996,0.0365,0.02432,1.52918,4.02989,0.87876,5.02385e-05,5.02385e-05,5.02385e-05
17,2944.18,1.62726,4.02331,0.8751,0.38981,0.04081,0.03178,0.02108,1.51437,3.95205,0.87788,4.96544e-05,4.96544e-05,4.96544e-05
18,3069.96,1.57696,3.8702,0.8786,0.43066,0.05005,0.04137,0.02954,1.49618,3.88076,0.87797,4.90703e-05,4.90703e-05,4.90703e-05
19,3197.94,1.55184,3.76738,0.87514,0.42548,0.04594,0.04202,0.02954,1.49351,3.85604,0.87782,4.84862e-05,4.84862e-05,4.84862e-05
20,3308.58,1.57986,3.70992,0.87424,0.43501,0.06343,0.05005,0.03409,1.49055,3.77667,0.87452,4.79021e-05,4.79021e-05,4.79021e-05
21,3422.18,1.53547,3.65754,0.87415,0.49391,0.05794,0.05101,0.03656,1.46708,3.70383,0.87569,4.7318e-05,4.7318e-05,4.7318e-05
22,3528.98,1.55399,3.64669,0.87072,0.40499,0.0595,0.04747,0.03246,1.475,3.67763,0.87805,4.67339e-05,4.67339e-05,4.67339e-05
23,3642.04,1.56446,3.58897,0.87403,0.41747,0.07423,0.05618,0.0381,1.4555,3.62744,0.87211,4.61498e-05,4.61498e-05,4.61498e-05
24,3745.16,1.56789,3.54666,0.86926,0.41988,0.06562,0.05533,0.03795,1.44644,3.57744,0.87259,4.55657e-05,4.55657e-05,4.55657e-05
25,3850.04,1.5082,3.46672,0.86949,0.40789,0.07347,0.06014,0.04203,1.44829,3.53676,0.87185,4.49816e-05,4.49816e-05,4.49816e-05
26,3955.21,1.51613,3.42406,0.87257,0.41319,0.0678,0.05974,0.04093,1.44014,3.49649,0.87049,4.43975e-05,4.43975e-05,4.43975e-05
27,4058.55,1.52766,3.39096,0.87056,0.37312,0.0777,0.06268,0.04225,1.44529,3.42792,0.8732,4.38134e-05,4.38134e-05,4.38134e-05
28,4154.42,1.51726,3.35712,0.86499,0.37012,0.07451,0.06233,0.04245,1.41888,3.3977,0.86826,4.32293e-05,4.32293e-05,4.32293e-05
29,4248.11,1.48756,3.24026,0.86619,0.39303,0.08174,0.06829,0.04563,1.42375,3.37164,0.869,4.26452e-05,4.26452e-05,4.26452e-05
30,4342.45,1.4876,3.2254,0.86747,0.39295,0.08876,0.07497,0.0508,1.42186,3.33059,0.87154,4.20611e-05,4.20611e-05,4.20611e-05
31,4438.99,1.47751,3.16318,0.87058,0.42,0.09679,0.08032,0.05417,1.41437,3.30461,0.86989,4.1477e-05,4.1477e-05,4.1477e-05
32,4534.93,1.48913,3.13341,0.86907,0.44087,0.08966,0.08331,0.05567,1.40724,3.26115,0.87081,4.08929e-05,4.08929e-05,4.08929e-05
33,4620.15,1.48932,3.1245,0.86883,0.51433,0.08707,0.08952,0.05785,1.4122,3.25833,0.86954,4.03088e-05,4.03088e-05,4.03088e-05
34,4708.13,1.48905,3.12311,0.86827,0.46853,0.08954,0.09021,0.05952,1.40475,3.22451,0.87002,3.97247e-05,3.97247e-05,3.97247e-05
35,4796.09,1.48912,3.07239,0.86488,0.46756,0.09737,0.09695,0.06584,1.3938,3.1779,0.86861,3.91406e-05,3.91406e-05,3.91406e-05
36,4878.89,1.44468,2.99835,0.86184,0.50505,0.09575,0.09996,0.06975,1.39783,3.14972,0.86846,3.85565e-05,3.85565e-05,3.85565e-05
37,4956.31,1.4711,2.99893,0.86419,0.51415,0.08756,0.09688,0.06811,1.38914,3.14135,0.86618,3.79724e-05,3.79724e-05,3.79724e-05
38,5036.99,1.44587,2.99427,0.86152,0.53764,0.09342,0.09709,0.06758,1.39433,3.11336,0.86998,3.73883e-05,3.73883e-05,3.73883e-05
39,5120.91,1.41707,2.9358,0.8582,0.52492,0.09444,0.10323,0.07146,1.39014,3.08048,0.86926,3.68042e-05,3.68042e-05,3.68042e-05
40,5212.04,1.46302,2.93711,0.86173,0.49764,0.1077,0.10911,0.07382,1.39042,3.08973,0.87,3.62201e-05,3.62201e-05,3.62201e-05
41,5298.7,1.46163,2.89285,0.86348,0.48913,0.11162,0.11353,0.07807,1.39063,3.06182,0.86879,3.5636e-05,3.5636e-05,3.5636e-05
42,5402.99,1.44569,2.8965,0.86339,0.41135,0.12287,0.1109,0.07399,1.37538,3.0133,0.86585,3.50519e-05,3.50519e-05,3.50519e-05
43,5498.13,1.46901,2.85222,0.85862,0.43966,0.1154,0.11842,0.08016,1.38531,3.01225,0.8671,3.44678e-05,3.44678e-05,3.44678e-05
44,5580.88,1.43695,2.82657,0.8617,0.45258,0.11409,0.12183,0.08177,1.37542,2.99366,0.86771,3.38837e-05,3.38837e-05,3.38837e-05
45,5679.67,1.42871,2.78507,0.86085,0.38867,0.12777,0.12116,0.0842,1.37916,2.95245,0.86783,3.32996e-05,3.32996e-05,3.32996e-05
46,5780.47,1.39914,2.74537,0.85138,0.42347,0.12683,0.11728,0.0797,1.37867,2.94455,0.86699,3.27155e-05,3.27155e-05,3.27155e-05
47,5874.68,1.44394,2.77347,0.85961,0.40989,0.12019,0.1147,0.07796,1.37708,2.93744,0.86553,3.21314e-05,3.21314e-05,3.21314e-05
48,5967.04,1.44023,2.75575,0.8612,0.3767,0.12601,0.12087,0.0825,1.37765,2.9157,0.86696,3.15473e-05,3.15473e-05,3.15473e-05
49,6062.68,1.42023,2.71535,0.86722,0.40078,0.11935,0.11866,0.08198,1.36707,2.89419,0.86643,3.09632e-05,3.09632e-05,3.09632e-05
50,6138.61,1.42794,2.7129,0.86006,0.3641,0.14304,0.11355,0.07753,1.3705,2.88459,0.866,3.03791e-05,3.03791e-05,3.03791e-05
51,6229.71,1.43271,2.70711,0.86206,0.41817,0.13452,0.12392,0.08528,1.37428,2.88153,0.86589,2.9795e-05,2.9795e-05,2.9795e-05
52,6313.03,1.4082,2.66638,0.86183,0.42338,0.13826,0.12652,0.08654,1.36473,2.8657,0.86607,2.92109e-05,2.92109e-05,2.92109e-05
53,6397.03,1.41751,2.63905,0.85378,0.47242,0.11815,0.12687,0.08592,1.35717,2.83504,0.86499,2.86268e-05,2.86268e-05,2.86268e-05
54,6481.99,1.41075,2.60842,0.85792,0.4513,0.12927,0.13191,0.091,1.36884,2.84587,0.86639,2.80427e-05,2.80427e-05,2.80427e-05
55,6579.75,1.40763,2.59086,0.85716,0.38354,0.13995,0.12787,0.08723,1.3626,2.82935,0.86389,2.74586e-05,2.74586e-05,2.74586e-05
56,6651.66,1.39527,2.56289,0.85705,0.4521,0.12535,0.12986,0.08897,1.35819,2.82481,0.86392,2.68745e-05,2.68745e-05,2.68745e-05
57,6733.04,1.39205,2.54985,0.85411,0.34055,0.14213,0.13601,0.09301,1.36434,2.81311,0.8646,2.62904e-05,2.62904e-05,2.62904e-05
58,6814.17,1.38504,2.54197,0.85379,0.46184,0.13246,0.13662,0.09356,1.3652,2.82217,0.86587,2.57063e-05,2.57063e-05,2.57063e-05
59,6900.85,1.39883,2.5591,0.85531,0.38275,0.13645,0.138,0.09376,1.36672,2.77866,0.86486,2.51222e-05,2.51222e-05,2.51222e-05
60,6980.6,1.38956,2.5364,0.85646,0.37188,0.13808,0.13981,0.09666,1.35397,2.7716,0.86435,2.45381e-05,2.45381e-05,2.45381e-05
61,7054.22,1.3698,2.51855,0.85139,0.43972,0.13965,0.14016,0.09599,1.36039,2.76355,0.86452,2.3954e-05,2.3954e-05,2.3954e-05
62,7122.12,1.40323,2.50934,0.85537,0.497,0.13343,0.14854,0.10246,1.35552,2.76158,0.86515,2.33699e-05,2.33699e-05,2.33699e-05
63,7208.19,1.37041,2.48205,0.85352,0.4476,0.13074,0.14482,0.09944,1.3604,2.74226,0.86475,2.27858e-05,2.27858e-05,2.27858e-05
64,7283.6,1.36815,2.4576,0.85409,0.31128,0.159,0.13894,0.09461,1.35596,2.75883,0.86435,2.22017e-05,2.22017e-05,2.22017e-05
65,7356.01,1.3822,2.45643,0.85701,0.35724,0.14958,0.14239,0.09712,1.35426,2.7273,0.86491,2.16176e-05,2.16176e-05,2.16176e-05
66,7434.28,1.36988,2.45686,0.85365,0.42136,0.14166,0.14886,0.10316,1.34431,2.7211,0.86425,2.10335e-05,2.10335e-05,2.10335e-05
67,7519.25,1.38675,2.46592,0.85289,0.42974,0.14138,0.14817,0.10187,1.35797,2.72023,0.86631,2.04494e-05,2.04494e-05,2.04494e-05
68,7611.68,1.37092,2.4147,0.85441,0.37685,0.1544,0.15516,0.1069,1.35673,2.7025,0.86637,1.98653e-05,1.98653e-05,1.98653e-05
69,7693.72,1.388,2.43503,0.85335,0.3831,0.15408,0.15149,0.10455,1.35509,2.70209,0.86508,1.92812e-05,1.92812e-05,1.92812e-05
70,7771.53,1.361,2.40733,0.85415,0.35159,0.16787,0.15741,0.10842,1.35574,2.6938,0.86577,1.86971e-05,1.86971e-05,1.86971e-05
